epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
40,136.963,0.5662,0.85504,0.48808,0.86262,0,0.94311,0.98317,0.97686,0.86586,0.94311,0.98317,0.97686,0.83784,0.5071,0.80841,0.39637,0.84239,0,0.00102337,0.00102337,0.00102337
41,138.803,0.56752,0.79441,0.49017,0.85393,0,0.93759,0.98529,0.97497,0.86032,0.93759,0.98529,0.97497,0.85594,0.51614,0.68699,0.39416,0.84125,0,0.00100687,0.00100687,0.00100687
42,140.687,0.60639,0.88667,0.50415,0.86009,0,0.93509,0.98529,0.98085,0.86399,0.93509,0.98529,0.98085,0.81607,0.52885,0.78104,0.40439,0.85075,0,0.000990365,0.000990365,0.000990365
43,142.31,0.56707,0.84396,0.47971,0.84761,0,0.93392,0.98529,0.97404,0.86345,0.93392,0.98529,0.97404,0.8129,0.50176,0.79142,0.39765,0.84753,0,0.000973861,0.000973861,0.000973861
44,149.593,0.564,0.82316,0.48845,0.86457,0,0.93765,0.98374,0.97873,0.8675,0.93765,0.98374,0.97873,0.82551,0.49704,0.8171,0.39305,0.8443,0,0.000957358,0.000957358,0.000957358
45,156.262,0.5742,0.81685,0.49187,0.85854,0,0.93618,0.98518,0.97437,0.86661,0.93618,0.98518,0.97437,0.80698,0.50391,0.8673,0.37791,0.84671,0,0.000940855,0.000940855,0.000940855
46,160.607,0.56199,0.83063,0.4506,0.85396,0,0.93981,0.98528,0.9742,0.85075,0.93981,0.98528,0.9742,0.82927,0.52269,0.79779,0.38153,0.84749,0,0.000924352,0.000924352,0.000924352
47,162.247,0.58244,0.89207,0.48207,0.87109,0,0.93889,0.98158,0.97549,0.85057,0.93889,0.98158,0.97549,0.82525,0.54387,0.89293,0.40821,0.85857,0,0.000907848,0.000907848,0.000907848
48,163.868,0.60404,0.858,0.48092,0.8634,0,0.92809,0.98415,0.97328,0.84121,0.92809,0.98415,0.97328,0.83079,0.5387,0.82145,0.40688,0.86713,0,0.000891345,0.000891345,0.000891345
49,165.719,0.5459,0.79238,0.45288,0.85361,0,0.94085,0.98529,0.96507,0.84877,0.94085,0.98529,0.96507,0.84214,0.50898,0.74035,0.39351,0.84936,0,0.000874842,0.000874842,0.000874842
50,167.39,0.5524,0.77294,0.44886,0.85866,0,0.93663,0.98529,0.9677,0.85376,0.93663,0.98529,0.9677,0.84221,0.49351,0.75927,0.39154,0.84073,0,0.000858338,0.000858338,0.000858338
51,171.603,0.53942,0.72846,0.45351,0.85254,0,0.93574,0.98529,0.97025,0.85403,0.93574,0.98529,0.97025,0.84404,0.49812,0.81116,0.37911,0.84019,0,0.000841835,0.000841835,0.000841835
52,176.01,0.54319,0.81737,0.45952,0.86206,0,0.93002,0.98529,0.97474,0.87674,0.93002,0.98529,0.97474,0.84672,0.49734,0.77491,0.40416,0.84512,0,0.000825332,0.000825332,0.000825332
53,179.286,0.53987,0.81208,0.43209,0.84983,0,0.94087,0.98529,0.98168,0.88093,0.94087,0.98529,0.98168,0.84002,0.49186,0.71099,0.38489,0.83879,0,0.000808828,0.000808828,0.000808828
54,185.344,0.54832,0.79156,0.4431,0.84936,0,0.94122,0.98529,0.98732,0.87417,0.94122,0.98529,0.98732,0.84084,0.5093,0.7171,0.36481,0.84084,0,0.000792325,0.000792325,0.000792325
55,189.696,0.53897,0.78077,0.43487,0.85405,0,0.95854,0.98375,0.9827,0.86277,0.95854,0.98375,0.9827,0.83697,0.49688,0.74909,0.36919,0.84059,0,0.000775822,0.000775822,0.000775822
56,191.3,0.5634,0.8568,0.45272,0.85566,0,0.94432,0.98529,0.98147,0.88219,0.94432,0.98529,0.98147,0.82644,0.48217,0.71472,0.38522,0.83928,0,0.000759318,0.000759318,0.000759318
57,197.866,0.54487,0.79501,0.42804,0.84975,0,0.94069,0.98529,0.98517,0.88588,0.94069,0.98529,0.98517,0.84606,0.49314,0.69074,0.36171,0.8386,0,0.000742815,0.000742815,0.000742815
58,201.343,0.55447,0.81745,0.42834,0.85435,0,0.94326,0.98529,0.98647,0.8805,0.94326,0.98529,0.98647,0.83407,0.51043,0.72599,0.37337,0.84122,0,0.000726312,0.000726312,0.000726312
59,207.932,0.54796,0.79627,0.44417,0.85717,0,0.94321,0.98529,0.98538,0.87413,0.94321,0.98529,0.98538,0.8657,0.50272,0.77242,0.38167,0.84171,0,0.000709809,0.000709809,0.000709809
60,212.914,0.54858,0.72309,0.40214,0.85655,0,0.92862,0.98529,0.98457,0.87918,0.92862,0.98529,0.98457,0.84154,0.48423,0.71163,0.36934,0.8412,0,0.000693305,0.000693305,0.000693305
61,216.326,0.51739,0.85913,0.41174,0.85939,0,0.93017,0.98263,0.98345,0.87031,0.93017,0.98263,0.98345,0.86655,0.49404,0.74284,0.37689,0.84443,0,0.000676802,0.000676802,0.000676802
62,217.977,0.53815,0.79034,0.40142,0.851,0,0.92907,0.98529,0.97923,0.88872,0.92907,0.98529,0.97923,0.84087,0.4663,0.73597,0.36561,0.8386,0,0.000660299,0.000660299,0.000660299
63,219.721,0.53699,0.75666,0.41706,0.85196,0,0.92866,0.98529,0.97871,0.87923,0.92866,0.98529,0.97871,0.88434,0.48256,0.72317,0.36397,0.83502,0,0.000643795,0.000643795,0.000643795
64,221.612,0.50953,0.73927,0.40407,0.85474,0,0.92483,0.98529,0.97727,0.89068,0.92483,0.98529,0.97727,0.84385,0.45635,0.72657,0.3643,0.83168,0,0.000627292,0.000627292,0.000627292
65,223.768,0.52016,0.79777,0.41828,0.85491,0,0.91519,0.98529,0.97444,0.88911,0.91519,0.98529,0.97444,0.85297,0.45085,0.74136,0.37786,0.82996,0,0.000610789,0.000610789,0.000610789
66,225.671,0.5252,0.7289,0.39409,0.84772,0,0.93559,0.97515,0.97802,0.88302,0.93559,0.97515,0.97802,0.8652,0.46722,0.70644,0.37551,0.83303,0,0.000594286,0.000594286,0.000594286
